Datum;Last;Erzeugung
7.1.22 11:15;375.933;138.497
7.1.22 11:30;373.505;140.173
7.1.22 11:45;376.302;132.687
7.1.22 12:00;379.516;128.900
7.1.22 12:15;374.833;129.876
7.1.22 12:30;367.973;130.591
7.1.22 12:45;359.884;130.092
7.1.22 13:00;360.672;134.470
7.1.22 13:15;362.563;138.472
7.1.22 13:30;359.334;139.416
7.1.22 13:45;371.159;139.507
7.1.22 14:00;383.269;138.896
7.1.22 14:15;381.476;138.686
7.1.22 14:30;359.667;138.609
7.1.22 14:45;364.517;139.355
7.1.22 15:00;371.646;138.259
7.1.22 15:15;375.725;137.978
7.1.22 15:30;360.946;137.584
7.1.22 15:45;350.650;138.002
7.1.22 16:00;349.871;138.888
7.1.22 16:15;349.402;138.593
7.1.22 16:30;351.761;138.773
7.1.22 16:45;356.926;139.483
7.1.22 17:00;358.991;141.751
7.1.22 17:15;332.805;142.107
7.1.22 17:30;357.527;141.084
7.1.22 17:45;358.951;141.874
7.1.22 18:00;356.604;139.887
7.1.22 18:15;356.437;139.606
7.1.22 18:30;352.974;139.231
7.1.22 18:45;353.127;139.561
7.1.22 19:00;352.337;139.937
7.1.22 19:15;356.190;138.177
7.1.22 19:30;353.511;137.810
7.1.22 19:45;353.577;137.233
7.1.22 20:00;356.953;138.167
7.1.22 20:15;359.034;138.199
7.1.22 20:30;338.739;139.111
7.1.22 20:45;343.008;139.828
7.1.22 21:00;333.555;137.114
7.1.22 21:15;330.162;137.491
7.1.22 21:30;328.096;136.166
7.1.22 21:45;300.247;113.316
7.1.22 22:00;308.466;112.163
7.1.22 22:15;314.781;116.144
7.1.22 22:30;315.135;123.269
7.1.22 22:45;294.265;125.561
7.1.22 23:00;296.632;122.752
7.1.22 23:15;293.814;122.129
7.1.22 23:30;295.996;121.784
7.1.22 23:45;296.098;122.267
8.1.22 0:00;269.844;121.738
8.1.22 0:15;284.785;122.405
8.1.22 0:30;279.042;123.127
8.1.22 0:45;278.294;123.168
8.1.22 1:00;281.872;123.694
8.1.22 1:15;257.713;123.413
8.1.22 1:30;262.207;124.608
8.1.22 1:45;266.240;124.570
8.1.22 2:00;264.251;124.410
8.1.22 2:15;247.086;123.916
8.1.22 2:30;267.054;123.804
8.1.22 2:45;263.011;122.508
8.1.22 3:00;243.395;121.564
8.1.22 3:15;256.096;121.558
8.1.22 3:30;256.303;121.124
8.1.22 3:45;254.932;122.534
8.1.22 4:00;258.186;119.963
8.1.22 4:15;260.081;120.356
8.1.22 4:30;241.157;119.384
8.1.22 4:45;255.572;118.679
8.1.22 5:00;259.549;120.219
8.1.22 5:15;266.111;120.196
8.1.22 5:30;242.518;121.090
